iter	Passed	Remaining
875	77045	10905
876	77142	10819
877	77243	10733
878	77340	10646
879	77432	10559
880	77531	10472
881	77621	10384
882	77714	10297
883	77804	10209
884	77894	10121
885	77986	10034
886	78071	9945
887	78171	9859
888	78265	9772
889	78352	9683
890	78449	9597
891	78538	9509
892	78632	9421
893	78734	9335
894	78817	9246
895	78918	9160
896	79019	9073
897	79109	8985
898	79193	8897
899	79286	8809
900	79382	8722
901	79476	8634
902	79570	8547
903	79659	8459
904	79756	8372
905	79845	8284
906	79934	8196
907	80025	8108
908	80114	8020
909	80210	7932
910	80299	7844
911	80397	7757
912	80502	7671
913	80593	7583
914	80688	7495
915	80784	7408
916	80876	7320
917	80965	7232
918	81057	7144
919	81156	7057
920	81217	6966
921	81284	6876
922	81374	6788
923	81482	6702
924	81566	6613
925	81664	6526
926	81765	6438
927	81841	6349
928	81940	6262
929	82008	6172
930	82078	6083
931	82170	5995
932	82258	5907
933	82350	5819
934	82445	5731
935	82548	5644
936	82640	5556
937	82730	5468
938	82830	5380
939	82928	5293
940	83023	5205
941	83115	5117
942	83211	5029
943	83302	4941
944	83393	4853
945	83486	4765
946	83584	4677
947	83677	4589
948	83768	4501
949	83864	4413
950	83961	4326
951	84054	4238
952	84146	4149
953	84240	4061
954	84334	3973
955	84423	3885
956	84516	3797
957	84610	3709
958	84704	3621
959	84802	3533
960	84895	3445
961	84990	3357
962	85081	3268
963	85184	3181
964	85276	3092
965	85371	3004
966	85476	2916
967	85570	2828
968	85668	2740
969	85759	2652
970	85852	2564
971	85946	2475
972	86047	2387
973	86143	2299
974	86207	2210
975	86298	2122
976	86389	2033
977	86489	1945
978	86585	1857
979	86678	1768
980	86766	1680
981	86852	1592
982	86930	1503
983	87033	1415
984	87125	1326
985	87224	1238
986	87320	1150
987	87421	1061
988	87521	973
989	87617	885
990	87712	796
991	87805	708
992	87892	619
993	87984	531
994	88072	442
995	88168	354
996	88267	265
997	88372	177
998	88474	88
999	88571	0
